,drag,struggle,deterioration,sound,adversely,vulnerable,squeeze,benign,weakness,unease,unexpectedly,resilience,successful,bad,erode,favourably,costly,erosion,illiquid,stabilize,successfully,stabilise,repercussion,profits,buoyancy,damage,gloomy,question,impairment,expose,severely,spiral,deficit,success,dent,difficult,abrupt,turbulent,writedowns,enhance,jeopardise,threaten,healthy,confident,inability,stress,aggravate,suffer,buoyant,improve,fear,worsen,pose,stagnate,lose,strain,enable,deteriorate,force,hurt,solid,favorable,fragility,risky,discourage,resilient,danger,adequately,undermine,negative,recover,recovery,contraction,adverse,mitigate,able,destabilise,unable,exacerbate,shortfall,positive,challenge,burden,comfortable,rebound,downgrade,improvement,positively,closure
1980-01,0.0,0.0,0.0,0.0,,0.0,0.2545824847250509,0.0,0.0,0.0,0.0,0.0,0.2545824847250509,0.0,0.0,0.0,0.2545824847250509,0.0,,,0.2545824847250509,0.0,0.0,,0.0,0.0,0.0,0.2545824847250509,0.0,0.0,0.0,0.0,0.2545824847250509,0.0,0.0,0.2545824847250509,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545824847250509,0.0,0.0,0.0,0.0,0.0,0.0,0.2545824847250509,0.0,0.2545824847250509,0.0,0.2545824847250509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545824847250509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.13107877834578582,0.0,0.0,0.0,0.13107877834578582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9140767824497256,0.0,0.0,0.0,0.0,0.0,0.0,0.9140767824497256,0.0,0.0,0.0,1.8281535648994516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9140767824497256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-05,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3453038674033149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0359116022099448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-06,0.03857578212398256,0.1157273463719477,0.07715156424796513,0.0,,0.03857578212398256,0.0,0.0,0.0,0.0,0.0,0.0,0.03857578212398256,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.03857578212398256,0.0,0.07715156424796513,0.0,0.0,0.03857578212398256,0.0,0.03857578212398256,0.03857578212398256,0.0,0.2314546927438954,0.0,0.0,,0.0,0.03857578212398256,0.1157273463719477,0.0,0.0,0.0,0.0,0.0,0.03857578212398256,0.03857578212398256,0.270030474867878,0.15430312849593025,0.03857578212398256,0.03857578212398256,0.0,0.15430312849593025,0.0,0.07715156424796513,0.0,0.4243336033638082,0.0,0.0,0.0,0.03857578212398256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2314546927438954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03857578212398256
1980-07,0.0,0.1081782778018174,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540891389009087,0.0,0.0,0.0,0.0,,,0.0,0.1081782778018174,0.0,,0.0540891389009087,0.0,0.0,0.1622674167027261,0.0,0.0,0.0,0.0,0.0,0.1081782778018174,0.0,0.0540891389009087,0.0,0.0,,0.0,0.0,0.0540891389009087,0.0,0.0,0.0,0.0,0.0,0.1081782778018174,0.0,0.0,0.1622674167027261,0.0,0.0,0.0,0.0540891389009087,0.0,0.0,0.0,0.5408913890090871,0.0,0.0,0.0,0.0540891389009087,0.0540891389009087,0.0,0.0,0.0,0.0,0.0,0.0,0.1622674167027261,0.0540891389009087,0.0,0.0,0.0,0.2163565556036348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540891389009087,0.0,0.0
1980-08,0.0,0.041317192083626,0.0,0.041317192083626,,0.082634384167252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082634384167252,0.0,0.041317192083626,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.371854728752634,0.0,0.0,0.0,0.0,0.20658596041813002,0.165268768334504,0.0,0.123951576250878,0.0,0.0,,0.082634384167252,0.0,0.20658596041813002,0.0,0.041317192083626,0.0,0.0,0.0,0.082634384167252,0.0,0.123951576250878,0.041317192083626,0.0,0.0,0.0,0.0,0.0,0.041317192083626,0.0,0.7850266495888941,0.041317192083626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041317192083626,0.041317192083626,0.0,0.0,0.0,0.247903152501756,0.0,0.0,0.0,0.0,0.0,0.0,0.041317192083626,0.0,0.0,0.0,0.041317192083626,0.0,0.041317192083626
1980-09,0.0,0.15078407720144754,0.15078407720144754,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15078407720144754,0.4523522316043426,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15078407720144754,0.0,0.0,,0.0,0.0,0.0,0.0,0.15078407720144754,0.0,0.15078407720144754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15078407720144754,0.0,0.0,0.0,0.15078407720144754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15078407720144754,0.0,0.0,0.0,0.0,0.0,0.0
1980-10,0.0,0.0,0.0,0.0,,0.0,0.12051096649795133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12051096649795133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24102193299590266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
