,total_word_count
'',108.50456505711682
's,0.10580331164365446
**,0.3169168585054193
***,0.24124756604255115
**-,0.12288243741000714
**t,0.17060054798578425
**§,0.03222997229129062
*-,1.188013686051368
*.,0.10824841311859407
*.-,0.21029263371940848
*^,0.22978461524927593
*a,0.4260469486797482
*b,0.08792792056823573
*c,0.015209356796301088
*d,0.05626005878646605
*e,0.25783173400159753
*f,0.06480769550843088
*h,0.013014393919675163
*i,0.21908437664496327
*j,0.08700315343673545
*k,0.038682488135310764
*l,0.21801994675541797
*m,0.210657013533952
*n,0.1398387681022124
*o,0.10787881345866275
*p,0.03775657203307338
*q,0.04113533525298231
*r,0.3221614012187653
*s,0.3558670450498714
*t,0.799086692584161
*u,0.03465404804568454
*v,0.07764527794111627
*w,0.07435921876919455
*y,0.19610193337909052
*~,0.05764387728922014
*•,0.09275116268764055
++,0.050201827152430864
",.",0.04293786292293686
",^",0.10831565497436862
",a",0.22228566743745093
",b",0.056884438392007575
",c",0.009752957584387463
",d",0.01135370187449618
",e",0.06201423128446019
",f",0.015481982780156032
",g",0.02188806443846171
",h",0.029432788029454884
",i",0.5421694747166338
",l",0.16379113572320253
",m",0.05726014561818431
",n",0.24119679151470913
",o",0.06475643019579504
",r",0.20350019313737663
",s",0.0959347327582949
",t",0.2317224660651944
",the",0.076068995876258
",u",0.09280150070175915
",v",0.10271091628444784
",y",0.016360988858166586
",~",0.17521136887209604
-*,1.030918326771845
-**,0.13015912104370736
-**-,0.13653591987573252
-*-,0.582283288849927
-*^,0.13930859036345555
-*i,0.0679409911225871
-*l,0.14872283037415607
-*m,0.018301432910336625
-*s,0.039832750401680786
-*t,0.11682831844733885
-+,2.2864151692990724
--,616.9845049568291
-.+,0.039423171099186416
-.-,2.882099442864188
-.-.-,0.07362972089030867
-.-._--,0.17705400363125168
-.-i,0.03676876126043314
-.^,0.05420073686181973
-._,0.02114477829699956
-.a,0.4237128302754754
-.b,0.02168012590980232
-.c,0.10677246191542825
-.d,0.16799518036502795
-.e,0.05884428601381175
-.f,0.19529438243728026
-.g,0.10206760414961957
-.h,0.04343348762954882
-.i,0.705737045111313
-.j,0.09138358436233347
-.l,0.42859626880888263
-.m,0.41213646272746535
-.n,0.16807551721046465
-.o,0.725436758274801
-.p,0.07516541086168001
-.r,0.12224835522239051
-.s,0.5439496855602632
-.t,0.0942533825836311
-.the,0.1448435781909979
-.u,0.2056131099239696
-.v,0.01606967812434717
-.w,0.16654857300755516
-.y,0.022686540075773042
-.~,0.18635300373175945
-.·,0.01686994955885082
-/,0.4251624639349347
-=,0.5777107685027988
-PRON-,285.05266922930025
-\,0.25998933653204026
-^,1.376151607163676
-^-,0.02546019298826285
-^^,0.04998409107392562
-_,0.3396558246674567
-_-,0.33643133660472335
-__,0.06989152783756027
-_i,0.1637274739385524
-a,27.39138463043782
-a-,0.5086100882927775
-aa,0.4752829146695303
-ab,0.30616174727189227
-about,0.06552533801712584
-ac,0.1133843060892854
-acre,0.7660536897575754
-acre_site,0.007954500258521258
-ad,0.5135179294681383
-ae,0.3006396289054489
-after,0.07171136765777521
-ag,0.03469131988947839
-ai,0.2379541258985848
-aid,0.05056409380314668
-aj,0.07191907688579956
-al,0.3843831272560519
-all,0.30038004881642827
-also,0.22005158517203888
-although,0.08889510901215124
-am,0.6654467870181927
-an,0.9072183836783426
-and,2.4780675667505694
-any,0.047051542123594976
-ao,0.14089073691269463
-ap,0.13350245833328797
-apr,0.05941766033130803
-ar,0.5422440283077206
-are,0.5991545541257597
-as,1.580890144645628
-at,1.094923070414591
-ate,0.14749103993407095
-au,0.13672129849803813
-aug,0.21398544219585994
-august,0.05542622769094335
-av,0.03680168228086052
-aw,0.2466441464101582
-ay,0.19444948592232186
-a~,0.1418758112996671
-b,4.277169121490029
-b-,0.03205641929796442
-ba,0.1323656406806138
-bank,0.1824573729358283
-based,0.1570481658011522
-basis_point,0.3668947157996837
-bb,0.08398421096833797
-be,0.7555439095552592
-because,0.03471349928610165
-bed,0.022100912767697302
-bedroom,0.10394470141884518
-been,0.4017677259925574
-before,0.1285127974929649
-between,0.04428221849884437
-bi,0.10686318514136442
-bit,0.0716743119266055
-bl,0.10938448433991539
-bm,0.053046783575515885
-bn,0.030749361950739518
-bond,0.018842748866491427
-both,0.05714805654267456
-br,0.01989793537130918
-british,0.1858208903983557
-bs,0.10436199635386391
-bt,0.022686540075773042
-business,0.017455053237912375
-but,0.3549927568662895
-by,0.6395231487887328
-c,3.8154693592815967
-c-,0.12140098584034813
-ca,0.18842057555353342
-cam,0.03822084904221458
-can,0.3180760566529748
-cap,0.04199563245422476
-capacity,0.057012053119990955
-capital,0.10081152546475725
-car,0.09202171712524156
-cash,0.09330900453638877
-cc,0.14135079849896115
-ce,0.05832462117343923
-cent,0.170470982232906
-cf,0.0377172610928161
-ch,0.017587815774640705
-channel,0.02657171295915314
-ci,0.09121673096063114
-city,0.1054033217306779
-cl,0.049875706004284565
-class,0.3263179277887329
-cm,0.12509318665451166
-cn,0.027136086546806493
-co,0.045590664891312416
-com,0.01911570737675148
-companies,0.0598454888368092
-company,0.20152665164493944
-con,0.012748110092678759
-contd,0.009557853688375738
-could,0.013093975461889984
-country,0.2112671859337657
-cp,0.3472367324134406
-cr,0.031615283407431374
-cs,0.06547583867543727
-ct,0.03572361945359635
-cu,0.043598046167374775
-c~,0.015402861851732053
-d,3.0695868218548084
-d-,0.012549728298382341
-da,0.05711681096433337
-day,6.3755362527487955
-day_average,0.11604653830874005
-day_deposit,0.2700997412375232
-day_trial,0.10562982781520318
-de,0.006645754691902811
-dec,0.24823293880844546
-december,0.01784376003711502
-degree,0.20915202726890353
-di,0.20608443110052244
-dl,0.04994601523267529
-dm,0.11450117610614
-do,0.19691690819286
-dollar,0.5938105061683081
-door,0.025496220185357518
-down,0.1211489109886914
-ds,0.12243096820412552
-dy,0.053003019370922014
-e,4.723059659675623
-e-,0.04354856837689876
-ea,0.22051630243781137
-ear,0.04565843358636566
-eb,0.0760861294985924
-ec,0.04973285529325685
-ed,0.09082231083578438
-ee,0.05781815717172105
-ei,0.04631506619825265
-el,0.08896961737860493
-em,0.35065469830174284
-en,0.18525334805995824
-end,0.07415647015202077
-ent,0.22133560319411807
-eo,0.025285685886611384
-equity,0.024324390065919098
-er,0.5133057804424407
-es,0.09533345456648044
-et,0.4915669175522225
-eu,0.10137578307575584
-eur,0.07956569488352588
-euro,1.0657953535560991
-europe,0.057453663304719474
-european,0.07177894429748617
-even,0.051794950939520655
-ew,0.18629308316546161
-f,2.439373740857474
-f-,0.055068003161572
-fa,0.022246311504239273
-far,0.08618783929612553
-fc,0.04967066289105494
-fd,0.005852916215504375
-fe,0.02484163457955533
-feb,0.030403464890007628
-fi,0.0196800031488005
-financial,0.014034693762982092
-first,0.005828354946816262
-fl,0.13932067800294903
-fm,0.055860928580423866
-fn,0.011899378852423904
-fold,0.44491951851845063
-foot,0.47806776727965083
-for,1.1267268870844966
-for-,0.1313528453747193
-fr,0.11681119927555841
-free,0.013549951897670763
-from,0.2577675336300901
-fs,0.05161081632976512
-ft,0.3292276402638836
-ftse,0.1155978566525549
-g,1.3193274251484421
-ga,0.06772101118474164
-gam,0.03382496894885948
-ge,0.022028203814136005
-gi,0.023159942868325418
-gl,0.011681271162320636
-go,0.1428583745274353
-government,0.2445387935186513
-group,0.05735506989640502
-gs,0.07341141790022461
-gt,0.030047803920520234
-h,1.6323459628834316
-h-,0.07985779832871015
-had,0.17043425199388879
-has,0.8640315036077495
-have,0.17986879470898387
-he,0.3180412419525488
-hectare,1.348918622562952
-hi,0.06417507716714124
-hich,0.17440171365602233
-high,0.0768935253056022
-his,0.13090781192038903
-hl,0.009898637947418435
-hm,0.0143862122541756
-ho,0.018641066268990585
-hole,0.07180857463374317
-hole_golf,0.08642295393656556
-hour,4.065197912531689
-hour_stoppage,0.19125202801942448
-hour_strike,0.3498117019466333
-hours,0.3409235041489188
-how,0.07922073567134309
-however,0.0466283032362844
-hr,0.04301557517305602
-hs,0.11976529994427434
-ht,0.035262037978072404
-i,21.568639089058728
-i-,1.1594760584562398
-ia,0.6147650892313388
-ib,0.20267408105391385
-ic,0.17629113102475985
-id,0.12358969267460099
-ie,0.10329195217910025
-if,0.45417405083413925
-ig,0.1082170545017152
-ih,0.11451002556939943
-ii,1.1030157907069222
-iii,0.13742749084284045
-ij,0.038061927826860825
-ik,0.047416617449622216
-il,1.1038051199507828
-ili,0.009557853688375738
-ill,0.21679948673200866
-im,0.3034660614341445
-in,2.54079558498055
-in-,0.07011643628955007
-inch,0.29796975073108734
-including,0.09131408029998858
-income,0.0205843637365367
-ing,0.019530880816536186
-int,0.005828354946816262
-international,0.0670831294477285
-into,0.010589630633683495
-investment,0.0854628226493003
-io,0.32923047300295294
-ion,0.05000071884623919
-ip,0.1666270696325776
-ir,0.16173915863575783
-is,2.85572769434644
-iso,0.1143168865799042
-issue,0.040043068624905045
-it,1.5125807213768718
-ith,0.07115072482936599
-its,0.6096623492934912
-iu,0.09809421338866547
-iv,0.005852916215504375
-iw,0.09640520102416811
-ix,0.04886120664702233
-iy,0.013335111348179758
-iz,0.02401568309901304
-i~,0.2112388368859942
-j,3.015698413135122
-j-,0.06808742425274053
-ja,0.0509478258714662
-jan,0.2200636898510108
-january,0.026525902543834055
-japan,0.9151553725296443
-japanese,0.02646973186161624
-ji,0.15726282107516382
-jj,0.04503895869927487
-jl,0.04035433696532395
-jm,0.0049721312045982275
-jo,0.08006835665350241
-jr,0.02378240746167219
-js,0.040264059172465935
-ju,0.06030585063494088
-jul,0.07966884457245206
-july,0.09566775361913982
-jun,0.12041997191541022
-june,0.07053899393747536
-just,0.06104587172038595
-k,2.103301521070662
-kg,0.08398421096833797
-ki,0.01506704836522525
-km,0.11701840039572176
-l,20.689362432115757
-l-,0.3205172342561409
-la,0.6348963279228135
-last,0.34057859782775335
-lb,0.2878311034463614
-lb_bushel,0.3265497642714577
-lc,0.08849397824813685
-ld,0.18958846818630212
-le,0.13294338461377964
-level,0.10046518639021823
-lg,0.08865187556438896
-lh,0.030863244961575262
-li,1.2000786370949763
-like,0.11060632584259605
-line,0.19013481303609567
-linked,0.11194986766473654
-litre,0.07978308327590652
-lj,0.02612876254180602
-lk,0.046430688884025156
-ll,1.5449806151119183
-lll,0.2099969692924808
-lm,0.14975956493108553
-ln,0.053619731239918075
-lo,1.2210422905110578
-london,0.08170624442204093
-long,0.06265787439393522
-lot,0.06264343189145183
-low,0.05519940708783096
-lp,0.2554809062952015
-lr,0.26126904539623275
-ls,0.4380576863090931
-lt,0.34552084477574185
-lu,0.2703506867585986
-lw,0.09354364097067348
-ly,0.10131536009716421
-l~,0.08405422633069506
-m,9.424501074373985
-m-,0.14188488563512353
-ma,0.3936108696011237
-made,0.006645754691902811
-mail,0.02925249586644803
-man,0.7492263437440516
-many,0.005828354946816262
-mar,0.5720133841340684
-march,0.1360521774324539
-mark,5.694538451144869
-market,0.17425674766770383
-may,0.4089970740480082
-mb,0.28087040660449764
-md,0.09211285452221689
-me,0.34321578500149946
-megabit,0.013093975461889984
-member,2.5570297133584594
-member_bloc,0.01084857558202608
-member_parliament,0.007675834171278564
-metre,0.497386818582414
-mh,0.16316203283454359
-mi,0.14922618929955972
-mih,0.10047754854623316
-mil,0.05820044232336166
-mile,6.618909243728219
-mile_radius,0.14704745767905994
-million,0.07803367202903261
-minute,1.5247297783604061
-minute_drive,0.17234862443205817
-mis,0.052854871298705294
-mit,0.013335111348179758
-mk,0.056251813061128336
-ml,0.21371315739693592
-mlh,0.10783685007350136
-mm,0.539440891564962
-mn,0.14988024933655164
-mo,0.5301928105146759
-mo_interbank,0.13419003754619147
-mo_treas,0.1904476821821613
-mom,0.017227122381477396
-mon,0.029069355921270003
-month,9.443858554493636
-month_interbank,0.25639830822650045
-month_libor,0.7195486153742847
-month_ubor,1.1049486680088132
-months,0.2437286275543013
-more,0.18810522425303072
-most,0.03896727629504332
-mp,0.04557630589633031
-mr,0.5789417924714507
-ms,0.19049387105955898
-mt,0.25581907776364243
-mth,4.084323474129574
-mth_euribor,0.8914226972520556
-mth_libor,1.0001637011369473
-mth_ubor,2.4034564740544515
-mti,0.05537250831577448
-mtl,0.05567617428991329
-mu,0.15332222986649982
-mw,0.10081270483376993
-my,0.11393773388504229
-n,4.913664799962857
-n-,0.11476063803158754
-na,0.20204593757641018
-nation,1.40044626668321
-nation_bloc,0.025415544146800185
-national,0.164734904701429
-nc,0.10738336128895667
-nd,0.36120752733098704
-ne,0.25588658391242924
-net,0.11127723716290894
-new,0.33652917827401974
-next,0.04609994468006638
-ng,0.01316621023804508
-ni,0.22952126448065824
-night,0.0907812212467398
-nl,0.12622163602308795
-nm,0.11480601373218328
-nn,0.06266808138483573
-no,0.3081846851011923
-north,0.07544322897019992
-not,0.4682479856777694
-nov,0.23669141402773688
-november,0.031324395439168026
-now,0.14133095300696097
-nr,0.09494623947612962
-ns,0.04184897209350226
-nt,0.1481338588092811
-nu,0.07338957818469335
-nw,0.06641188226500637
-o,14.100616104609916
-o-,0.11330917191869636
-o.m,0.0605664906533224
-o.o,0.13185070591006703
-o.s,0.04196919461115541
-oa,1.0624965772092472
-oam,0.010346932651815369
-oas,0.042982652722980595
-ob,0.1603666712103557
-oc,0.06784464691385363
-oct,0.23755045567545302
-october,0.04483098717833767
-od,0.027823180897606284
-odd,1.1404096589044501
-oe,0.2721431367788051
-of,2.167839229832678
-oft,0.022840097810684395
-oh,0.13279358525536555
-oi,0.38671490623328686
-oil,1.9148128275982197
-oio,0.05290165582182723
-oj,0.29474975938070436
-ol,1.0061049221246081
-old,0.05293566795345911
-ole,0.21773849359343367
-om,1.0621357366828101
-ome,0.018034915596595008
-on,0.8631986955347797
-one,0.6422862987770872
-only,0.048300113814408345
-oo,0.19485545431746792
-oob,0.1088238121801764
-ooi,0.04170837504170838
-oos,0.054276721358112484
-oot,0.30641126241093714
-op,0.24550168213200269
-or,0.689273609356702
-ore,0.2035669574404466
-os,1.267153855865231
-oso,0.058479139339762655
-ot,0.08867480384292292
-other,0.29026900797212685
-ou,0.12543346043337217
-ould,0.03358514550819596
-our,0.007679017085813015
-out,0.14269830392688468
-over,0.11740525417500136
-ow,0.417426996453007
-own,0.09106103690305054
-ox,0.005852916215504375
-oz,0.07978453061296217
-o~,0.016887520735278386
-p,3.1485191859208914
-p-,0.16539411876905208
-pa,0.1718009348430758
-page,2.5447438757350866
-page_document,0.20032994434576956
-paid,0.06491407506354072
-part,0.10255798828105876
-party,0.04246645150331239
-pc,0.0687235472099
-pe,0.06635259770420011
-per,0.5626886630772869
-person,0.1568020445563288
-pi,0.2707492956788713
-piece,0.03922366090900546
-pl,0.10725346979490773
-plus,0.36471543550153773
-pm,1.1375281851899377
-pn,0.35186251913328526
-po,0.031094714012885414
-point,1.8933767888364892
-pp,0.07603067102546386
-pr,0.2739001980005932
-price,1.4209666529444875
