,total_word_count
'',83.39399887463108
**,0.4251776461266732
***,0.0821287779237845
*-,0.030083330826389094
*^,0.4004649159393588
*a,0.20384854682592715
*d,0.7600492667753448
*e,0.12536741228567727
*f,0.8605851979345955
*i,0.2597802257830846
*j,0.16966406515100102
*l,1.79938150721544
*m,0.5612052893084778
*n,0.0821287779237845
*p,0.06839477463921756
*s,0.4012841091492777
*t,0.6376640243920086
*w,0.19947958122550993
*y,0.9135760741756459
*•,0.0821287779237845
",^",0.09173470323823504
",a",0.34106412005457026
",b",0.1145475372279496
",c",0.12813941568426448
",d",0.31993728300319196
",e",0.04155930512841825
",i",0.3628267021531241
",l",0.3250264623473208
",n",0.28705782634367893
",r",0.21376656690893545
",s",0.1885725061286065
",t",1.4641288433382136
",v",0.11048502927853276
",y",0.10116337885685382
",~",0.04434983147064042
",ý",0.050833672224481485
-*,0.2647603918453799
-**-,0.018120866177403282
-*i,0.023736055067647758
-+,0.5325603692330567
--,509.59414256881183
-.-,1.7500891248642083
-.-.-,0.060397414990638415
-.a,0.1945721467404555
-.d,0.04396763981709462
-.f,0.13218770654329146
-.g,0.018120866177403282
-.h,0.18625442354255914
-.i,0.16565397592109724
-.j,0.06314725940894166
-.l,0.02466395363176717
-.m,0.03310490945807263
-.n,0.023736055067647758
-.o,0.027139988058405257
-.r,0.07258474268708717
-.s,0.03142578800163414
-.t,0.14957611600124227
-.u,0.1447178002894356
-.~,0.6331180324189914
-/,0.4568034363174375
-=,0.5716016048033694
-PRON-,182.0772655771423
-\,0.24256898786959252
-^,2.0912817793460214
-^-,0.13415615776764153
-^^,0.06756756756756756
-_,0.9568103378249752
-__,0.1659475605708596
-a,10.469684023777432
-a-,0.3681885156379506
-ac,0.07220216606498195
-acre,0.2361512115603252
-ad,0.8197714460628013
-ai,0.282326369282891
-aid,0.2627430373095113
-al,0.16041065126724416
-all,0.06425496369594551
-although,0.2545824847250509
-an,1.8288717101487997
-and,2.0567354023881426
-any,0.08869966294128083
-apr,0.4039316009155784
-ar,0.0886053517632465
-are,0.17852092291720226
-as,2.30344872726266
-at,0.5063502993605243
-ate,0.06404098623118798
-aug,0.11251125112511252
-august,0.0828225940036442
-ay,0.027139988058405257
-a~,1.3774104683195594
-b,1.818565060962842
-bank,1.1884627040019478
-based,0.0828225940036442
-basis_point,0.08082114281095935
-bb,0.14838996883810654
-bi,0.08082114281095935
-bl,0.12572290671360326
-br,0.7610129825618546
-bs,0.06435006435006435
-business,0.3681885125184094
-but,1.1127476015746869
-by,1.5157823522997407
-c,2.9049376793583765
-c-,0.041317192083626
-ca,0.03142578800163414
-cam,0.03142578800163414
-can,0.5624731686823895
-capital,0.5927682276229994
-cash,0.0956205775482884
-ce,0.11251125112511252
-country,0.2193908619731362
-c~,0.10532968190436064
-d,1.6754644852989427
-d-,0.5687629250543942
-da,0.22568269013766645
-day,6.3363040788001666
-day_average,0.0540891389009087
-dm,0.14718869590815425
-do,0.15537600994406464
-dollar,0.73002630422098
-e,3.9399019013779446
-ea,0.04434983147064042
-em,0.06601531555320835
-er,0.9647339341189723
-et,0.6802721088435374
-euro,2.0384220985479553
-f,0.9292947045849043
-f-,0.1553277415346381
-fc,0.13072053452816332
-fold,0.3321049582688764
-for,1.5990559010578567
-for-,0.5742384821093902
-free,0.027139988058405257
-from,0.2927013094801826
-fs,0.12813941568426448
-ft,0.33789755157042295
-fund,0.0821287779237845
-g,0.30355509794444363
-general,0.07944704854214668
-gt,0.1928640308582449
-h,0.12446712283277066
-has,1.2610812008214594
-have,0.057240984544934176
-he,0.7739492526770011
-hectare,0.2668741631081111
-hich,0.5910014303407025
-hl,0.04864759680871765
-hour,2.117344662421896
-hour_stoppage,0.10443864229765014
-hour_strike,1.2744043012046522
-hours,0.9915881995061369
-how,0.1331026221216558
-however,0.17540782318891426
-i,16.577235143809514
-i-,5.243005011420976
-ia,0.5227414701118507
-ic,0.11048502927853276
-id,0.04434983147064042
-if,0.3816807086759338
-ig,0.050833672224481485
-ih,0.15280336931603167
-ii,0.3724946364785703
-iii,0.09160864785635764
-ij,0.2187226596675416
-il,0.07822192814034476
-im,0.5903187721369539
-in,1.6697224508748587
-in-,0.04434983147064042
-inch,0.21942019746944413
-ing,0.050833672224481485
-into,0.5025125628140703
-io,0.0863707030575229
-ir,0.337526515578199
-is,0.33535566405981443
-it,0.6692712836008046
-ith,0.2173913043478261
-iv,0.041317192083626
-iw,0.053427365496607364
-i~,0.04434983147064042
-j,2.417263041809947
-jan,0.22537750732476894
-japan,4.880674895341318
-ji,0.08082114281095935
-jul,0.060397414990638415
-k,1.036295390572022
-ki,0.03857578212398256
-l,1.7695694126104198
-l-,0.30102131295502943
-la,0.2366006980611443
-lb_flask,0.0540891389009087
-lc,0.03142578800163414
-ld,0.050833672224481485
-lh,0.1626280696048138
-li,0.5848171580181931
-line,0.26343519494204426
-ll,0.14802484726578774
-lll,0.17924359204158452
-lm,0.1556420233463035
-lo,0.31854307143445487
-london,0.057240984544934176
-lot,0.14927601134497687
-lt,0.5230125523012552
-ly,0.023736055067647758
-m,4.397868412070076
-ma,0.053427365496607364
-mail,0.3802281368821293
-man,0.4689557467466089
-many,0.04434983147064042
-mar,0.36920730958436765
-mark,10.418837305923008
-market,0.6864192233392199
-member,0.90449104644684
-metre,1.154889827081849
-mile,3.338816726989945
-minute,3.940766230425811
-minute_drive,1.4224751066856332
-mk,0.22031284423881914
-mm,0.23806129857545172
-mn,0.29886431560071725
-mo,0.2507917701199614
-mo_interbank,0.053427365496607364
-month,6.202613151268881
-more,0.5503577325261421
-most,0.45145149574195365
-mp,0.07944704854214668
-mr,0.6453464773125862
-mth,0.3270111183780249
-mth_ubor,0.6540222367560498
-mu,1.309383657943623
-mw,0.13491635186184567
-m~,0.023736055067647758
-n,4.12800669529208
-n-,0.027139988058405257
-na,0.16041065126724416
-nation,1.147400151002101
-nation_bloc,0.023736055067647758
-nd,0.14927601134497687
-ne,0.050833672224481485
-ng,0.5977286312014345
-no,0.21922963260683612
-not,1.0792980589504542
-nov,0.030083330826389094
-nw,0.2354603249352484
-o,3.079070988530737
-o.o,0.2715177844148792
-oc,0.050833672224481485
-od,1.1312217194570136
-odd,1.1954671298227226
-of,1.5939125194063206
-oh,0.7147962830593281
-oi,0.7483762735863577
-ol,0.10456178275621779
-om,0.48635192519979575
-ome,0.21376656690893545
-one,0.7137758743754461
-oo,0.13950892857142858
-or,0.14611338398597312
-other,0.1659475605708596
-p,0.7371843821116834
-page,2.904461637791919
-page_document,0.15078407720144754
-part,0.3724261644784721
-pc,0.02738825591586328
-per,1.0124398617082013
-person,0.11609008590666355
-piece,0.09659036028204386
-plus,0.6365009473693504
-po,0.018120866177403282
-point,1.1012008574026018
-pt,0.0886053517632465
-q,0.09859988168014197
-r,4.392973258362319
-r-,1.3708640487765422
-ra,0.053427365496607364
-rate,0.7079615359380884
-rate_strike,1.057296034153281
-results,0.5451076587626056
-rl,0.12813941568426448
-rm,0.1904036557501904
-rn,0.0585657760600394
-ro,0.22055580061755625
-rr,0.1035732780942517
-rs,0.06756756756756756
-rt,0.050833672224481485
-ru,0.6105714012415813
-r~,0.04864759680871765
-s,7.408622309702092
-s-,0.06425496369594551
-said,0.023736055067647758
-sam,0.023736055067647758
-se,0.06404098623118798
-seat,2.4507398228222903
-seat_parliament,0.44130626654898497
-seater,0.15588124134453646
-sept,0.2200366994717683
-set,0.03857578212398256
-sh,0.04434983147064042
-share_index,0.129468739619677
-sm,0.2979646815784789
-sn,0.050833672224481485
-so,0.17375706759565618
-some,0.16295972353563867
-sr,0.36163664219212927
-st,0.08190493817670134
-state,0.13491635186184567
-sterling,1.3589516418964207
-stock,0.268094202873816
-storey,0.7331884861402355
-strong,1.9374476566275791
-strong_workforce,0.04434983147064042
-su,0.1602450849588773
-such,0.6090133982947625
-sw,0.4967709885742673
-sw_franc,1.5939401724972424
-t,7.551211413652459
-t-,0.19895580559346243
-td,0.12813941568426448
-tel,0.053427365496607364
-term,0.057240984544934176
-tf,0.3345600535296086
-th,0.023736055067647758
-than,0.04396763981709462
-that,0.1015908160155746
-the,6.743157186420165
-there,0.15537600994406464
-they,0.2678809873521413
-three,0.27259818895443466
-ti,0.2293052052281587
-time,0.350238347568667
-times,0.0828225940036442
-tl,0.6747638326585695
-tm,0.10808473843493298
-to,1.6735151660985244
-ton,0.4167813848873808
-tonne,3.1596655766387123
-tonnes,0.5166901596150251
-tr,0.17765144785930007
-trade,0.04209108510817409
-ts,0.018120866177403282
-tu,0.0964785335262904
-t~,0.2187226596675416
-u,1.9499405820951967
-u-,0.1553277415346381
-u.s,0.20288740714303644
-ue,0.2465483234714004
-uk,1.1384409868180811
-un,0.21376656690893545
-unit,0.057240984544934176
