,total_word_count
'',138.79675595240028
**,0.8791083491525468
***,0.1714441941990496
**-,0.3793368172512771
**t,0.4188142800904171
**§,0.1600325254592232
*-,1.7605197723842845
*.,0.15316057986610712
*.-,0.17747960046515454
*^,0.272023978822882
*a,0.46956948414600336
*b,0.05169047957551211
*c,0.05406472789229368
*d,0.06579566964273706
*e,0.14185318840024796
*f,0.028707618477754118
*g,0.012901561088891756
*h,0.02708442748928281
*i,0.4687933213898673
*j,0.0691835317486481
*k,0.05025009764834451
*l,0.40660633224531695
*m,0.3073997559517809
*n,0.22362656861498675
*o,0.18212582988256826
*p,0.06570834775450943
*r,0.27697369154687745
*s,0.24334401473678957
*t,0.4810029405431269
*u,0.14518349652735038
*v,0.08267915623982813
*w,0.23107440278754243
*y,0.006868320558257096
*~,0.18501145375717049
*•,0.12644656832449397
++,0.005258370010464157
",.",0.2656799001564437
",.-",0.0444674579200599
",^",0.11055264643260665
",a",0.20646483614281125
",b",0.01349363774980097
",c",0.03476033833759604
",d",0.04737897539726217
",e",0.1775097092980909
",f",0.028202449315263653
",g",0.05516544015552005
",h",0.06826046613541153
",i",0.44796946299483076
",j",0.03859093507992363
",l",0.6813618527832112
",m",0.21208637299687838
",n",0.2761381875167994
",o",0.17269332043472085
",p",0.034998783589993546
",r",0.10772367747300571
",s",0.21354115220829284
",t",0.23628577786700372
",the",0.11701484372553138
",u",0.06786728983026183
",v",0.051103996436493423
",w",0.059887808307061655
",y",0.10176562498803529
",~",0.35465778358127237
-*,2.33678952326518
-**,0.3221784045177545
-**-,0.2617761934553242
-*-,1.3303019787230463
-*^,0.02857873968976756
-*a,0.12484211060621768
-*i,0.16467402167218656
-*l,0.16513719154778994
-*m,0.14686563657981916
-*s,0.1622636547995313
-*t,0.07937446586300267
-+,6.2837604482304625
-+i,0.11112343176250578
--,872.730382316909
-.+,0.10176881185823036
-.-,6.752051712643592
-.-.-,0.2794030906914902
-.-._--,0.20724663667827414
-.-i,0.030782414097384164
-.^,0.17575646756396265
-._,0.03338040357140596
-.a,0.5426831503468342
-.b,0.08144782731819632
-.c,0.13482989853636454
-.d,0.09209500789850322
-.e,0.12926904947414525
-.f,0.10445839265722504
-.g,0.09992631997426292
-.h,0.09919728538998424
-.i,0.9628517492477484
-.j,0.21320813967804886
-.l,0.7785450546660103
-.m,0.45568868611727975
-.n,0.1242232792867065
-.o,0.7983819555278112
-.p,0.2762768140014624
-.r,0.16422071183394588
-.s,0.8904322930464782
-.t,0.36427331046173733
-.the,0.051312345298835646
-.u,0.178596489679209
-.v,0.058830336766464555
-.w,0.29074209215508384
-.y,0.057393935946180204
-.~,0.17534543020265528
-.·,0.032059096189605125
-/,0.6471583826797093
-=,0.6538806618851921
-PRON-,271.14412196423405
-\,0.398045803450994
-^,2.1120948944015607
-^-,0.11479654857972789
-^^,0.044830509555860834
-_,0.47134707572588774
-_-,0.5102978739494538
-_.,0.04489104875425398
-__,0.10850402016475402
-_i,0.1496890670937313
-a,31.60909223398912
-a-,0.3465765832030029
-aa,0.11343091184636832
-aaa,0.017882156588084525
-ab,0.02358938600659396
-about,0.12576667283233992
-ac,0.0688686969641338
-acre,0.20707297479754322
-acre_site,0.09569461090164554
-ad,0.328263608444307
-ae,0.27798997126987096
-after,0.14202395269211815
-ag,0.06018488180557809
-ah,0.009371632069724942
-ai,0.2941276517149551
-aid,0.09810209918139462
-aim,0.07309288647367027
-aj,0.04928991249246585
-al,0.5331222252194109
-all,0.27063394570755217
-also,0.05510526083235004
-although,0.1391413627499962
-am,0.9358816079102377
-an,0.8538190220257831
-and,1.7319615336498249
-ao,0.3296050113916106
-ap,0.09580278506171744
-apr,0.2507194119134801
-april,0.03836945547992213
-ar,0.285666163802896
-are,0.5010138247220659
-as,1.7760320201260202
-at,0.9857728534760247
-ate,0.13198821309130737
-au,0.04516109433890019
-aug,0.43656695100408316
-av,0.0370802025158747
