,total_word_count
'',121.4191030822999
**,0.5135035019276377
***,0.15658851237516658
**-,0.15060916680148553
**t,0.29974672359262966
**§,0.14240575052548216
*-,1.1893263217140588
*.,0.0727446281083501
*.-,0.07366276700822463
*^,0.26915885720963145
*a,0.6843307821492781
*b,0.0066457105261409025
*c,0.1948939213870526
*d,0.04430856484558465
*e,0.04960911651898808
*f,0.012172113687541841
*g,0.0623558022073954
*h,0.2056766762649116
*i,0.8103933564437201
*j,0.06665685442092438
*k,0.02248909278999685
*l,0.2018228201827481
*m,0.1512928474382832
*n,0.06073728996619138
*o,0.10282711850572801
*q,0.020301270859555808
*r,0.11136021876153497
*s,0.023193826444426895
*t,0.20066522024130543
*u,0.051008422840380485
*v,0.11092623405435384
*w,0.10526310855518185
*y,0.26906906294911137
*~,0.27779422240105633
*•,0.03922645432079395
++,0.03923256961396652
",.",0.05495819761069551
",.-",0.022997493273233215
",^",0.017559862804134716
",a",0.14130414229525087
",b",0.026987443342510204
",c",0.06327974646640308
",d",0.12002194321871626
",e",0.06571679525273463
",f",0.049034391812976766
",h",0.027179243478839963
",i",0.7674047095700502
",j",0.055802164285608705
",l",0.11594733914655025
",m",0.13881620888696117
",n",0.19020854430487794
",o",0.42619133915518814
",p",0.11689043690882132
",r",0.32373236998981825
",s",0.05976824322603199
",t",0.34258822194712035
",the",0.11379647628597253
",u",0.011350093638272515
",v",0.06358944080847008
",w",0.0561379742923943
",y",0.0073021482920275155
",~",0.43869855118133194
",ý",0.09379983116030392
-*,1.5680089550432306
-**,0.1602933696084554
-**-,0.37614103561216417
-*-,0.8009200341180476
-*^,0.06299358315481668
-*a,0.0073021482920275155
-*i,0.10839847989989981
-*l,0.04795077093806105
-*m,0.039061899648139255
-*r,0.041891835281303684
-*s,0.02700440171747995
-+,2.996890882155521
--,619.2603427164805
-.+,0.024426585896089304
-.-,2.274663807860633
-.-.-,0.06943801652027282
-.-._--,0.16104405542895575
-.^,0.16765772296260498
-._,0.01882671887943369
-.a,0.10646275537907973
-.b,0.07872464135546457
-.c,0.2011090344981958
-.d,0.050844152606554685
-.e,0.05793228118838164
-.f,0.018136316542009326
-.g,0.08474863204902856
-.h,0.04307930900788351
-.i,0.5315252110270451
-.j,0.10872362372872665
-.l,0.2738193615987879
-.m,0.37318141895341067
-.n,0.010366239232068995
-.o,0.6970551642091394
-.p,0.17235049362173033
-.r,0.06953744913793487
-.s,0.31782856627324396
-.t,0.13947087017773682
-.the,0.19093069767778714
-.u,0.050584890784100923
-.w,0.05899186068878935
-.~,0.29248802877779073
-.·,0.12789734890024435
-/,0.3577014907415908
-=,0.6495047678487461
-PRON-,216.21204935781515
-\,0.39006862703902656
-^,1.558606458103487
-^-,0.11344895092250218
-^^,0.27399139488923563
-_,0.5513422559782204
-_-,0.5386254313779136
-_.,0.023111768512526575
-__,0.03712779386648845
-a,20.01198199700557
-a-,0.2529900650776723
-aa,0.0974431718214235
-aaa,0.12668599655731266
-ab,0.008300270588821195
-about,0.024151672503320853
-ac,0.24850943770103998
-acre,0.5103372786166837
-acre_site,0.11104352680502214
-ad,0.35667923014495434
-ae,0.04115913622252782
-after,0.2589977785717587
-ag,0.0127914859869271
-ai,0.3808595225692888
-aid,0.028940167023901286
-aim,0.105597551424671
-aj,0.01761090467217301
-al,0.39907984045341827
-all,0.20582592075753486
-also,0.023665838362323985
-am,0.4692243719935787
-an,0.8646901776495444
-and,2.2047369869905005
-any,0.03259920709096635
-ao,0.21070793072677652
-ap,0.12137451457344464
-apr,0.057656479388577764
-april,0.030949677898626377
-ar,0.08612305246334857
-are,0.4174956067273703
-as,1.1761096929240986
-at,1.2500506446751085
-ate,0.09448185962670178
-au,0.08069642834263627
-aug,0.07473100193770846
-august,0.03926922513135278
-av,0.07987858370908334
-aw,0.18242545624798795
-ay,0.08282650408474135
-a~,0.035768270496427744
-b,3.2362692854289667
-b-,0.07906405723742552
-ba,0.055658156950935636
-balanced,0.011928405708934971
-bank,0.299113866512714
-based,0.047701735317036704
-basis_point,0.2939831262885441
-bb,0.04223151315511635
-be,0.36413905484198905
-because,0.07874268304549184
-bed,0.1988250578294789
-bedroom,0.3154734281037586
-been,0.11716461628588165
-before,0.17205781142463866
-between,0.01718833255985837
-bi,0.06089019351866449
-bit,0.20641482887141896
-bm,0.052894319536019
-bn,0.13374319478953958
-bo,0.029581114964060594
-bond,0.0062549648783722074
-both,0.0651212928310083
-br,0.06047590604722755
-bs,0.011928405708934971
-bt,0.4151151682213225
-business,0.012675717128696556
-but,0.9043824541788195
-by,0.4912196088023846
-c,4.123480598758303
-c-,0.3127450234306481
-ca,0.16513214891805128
-cam,0.19841283032619667
-can,0.37462546936034424
-cap,0.16142411128992118
-capital,0.0059642028544674855
-car,0.12064569550104232
-carat_gold,0.04655276756203156
-cash,0.0839895190533389
-cc,0.03250780003429362
-ce,0.06999476099138635
-cent,0.277859282706375
-cf,0.01633044208653648
-ch,0.05194237337519466
-channel,0.1871722521255154
-chome,0.23313656872692778
-chome_chiyoda,0.15583319163718007
-ci,0.19733561483792492
-city,0.056119872046691735
-cl,0.08840992271742171
-class,0.0059642028544674855
-cm,0.05685424537646317
-cn,0.014599392665265125
-co,0.34914864414288327
-companies,0.0066457105261409025
-company,0.16036120752200456
-con,0.06360628780090771
-cont,0.00719362357206572
-contd,0.15337611043878666
-could,0.21017707331628793
-country,1.3702296314747462
-country_bloc,0.14066676044450696
-cp,0.004703226413319537
-cr,0.05294366793731469
-cs,0.12977194666201325
-ct,0.07391529307413704
-cu,0.1661119284175339
-cw,0.00719362357206572
-cylinder,0.2459722051408191
-c~,0.023962052044350236
-d,2.617720207689323
-d-,0.041348393437780344
-da,0.12122618859318728
-day,5.272033558923448
-day_average,1.0871953502961573
-day_trial,0.029304944491548007
-de,0.19495008295543217
-dec,0.19735444713970834
-december,0.15556695179829813
-degree,0.08882281270614062
-di,0.10407878694936101
