,fed_pos,fed_neg,w2v_pos,w2v_neg,w2v_refined_0_pos,w2v_refined_0_neg,w2v_refined_1_pos,w2v_refined_1_neg,w2v_refined_2_pos,w2v_refined_2_neg
0,able,abrupt,unable,sudden,oblige,sudden,need,sudden,allow,sudden
1,enable,adverse,oblige,dramatic,try,dramatic,allow,dramatic,keen,dramatic
2,adequately,adversely,try,ignominious,need,ignominious,keen,ignominious,enable,ignominious
3,benign,aggravate,need,untimely,eager,untimely,enable,untimely,ability,untimely
4,buoyant,bad,eager,unexpected,allow,unexpected,ability,unexpected,ready,unexpected
5,buoyancy,burden,allow,abruptly,keen,abruptly,ready,abruptly,enough,abruptly
6,comfortable,challenge,keen,precipitous,enable,precipitous,enough,precipitous,able,precipitous
7,confident,closure,enable,sharp,ability,sharp,want,sharp,allow,sharp
8,enhance,contraction,ability,drastic,ready,drastic,wish,drastic,help,drastic
9,favorable,costly,ready,cataclysmic,enough,cataclysmic,incline,cataclysmic,facilitate,cataclysmic
10,favourably,damage,enough,disorderly,want,disorderly,able,disorderly,ensure,disorderly
11,healthy,danger,want,hasty,wish,hasty,allow,hasty,able,hasty
12,improve,deficit,wish,gradual,incline,suddenness,help,suddenness,encourage,suddenness
13,improvement,dent,anxious,suddenness,able,painful,facilitate,painful,assist,painful
14,mitigate,destabilise,incline,painful,allow,abrupt,require,abrupt,complement,abrupt
15,positive,deteriorate,able,abrupt,help,unfavourable,ensure,unfavourable,empower,unfavourable
16,positively,deterioration,allow,unfavourable,facilitate,unfavorable,able,unfavorable,incentivise,unfavorable
17,profits,deterioration,help,unfavorable,require,negative,encourage,negative,enable,negative
18,rebound,difficult,facilitate,favourable,ensure,currency_fluctuation,assist,currency_fluctuation,properly,currency_fluctuation
19,recover,discourage,require,negative,able,unforeseen,complement,unforeseen,adequate,unforeseen
20,recovery,downgrade,ensure,currency_fluctuation,encourage,adversely,empower,adversely,sufficiently_robust,adversely
21,resilience,drag,able,unforeseen,assist,worsen,need,worsen,appropriately,worsen
22,resilient,erode,encourage,adversely,complement,severe,incentivise,severe,fully,severe
23,solid,erosion,assist,worsen,empower,unforeseeable,seek,unforeseeable,sufficiently,unforeseeable
24,sound,exacerbate,complement,favorable,need,deterioration,want,deterioration,prudently,deterioration
25,stabilise,expose,empower,severe,incentivise,recessionary,use,recessionary,sufficient,recessionary
26,stabilize,fear,need,unforeseeable,seek,unanticipated,enable,unanticipated,rigorously,unanticipated
27,success,force,incentivise,deterioration,want,adverse,properly,adverse,accurately,adverse
